"data_resultado";"genero";"fx_etaria";"total";"total_acumulado"
2020-04-01;"Masculino";"40-44";5;38
2020-04-01;"Masculino";"45-49";3;14
2020-04-01;"Masculino";"5-9";2;11
2020-04-01;"Masculino";"50-54";4;15
2020-04-01;"Masculino";"55-59";2;15
2020-04-01;"Masculino";"60-64";3;16
2020-04-01;"Masculino";"65-69";2;6
2020-04-01;"Masculino";"70-74";2;5
2020-04-01;"Masculino";"75-79";2;5
2020-04-01;"Masculino";"80-84";1;5
2020-04-02;"Feminino";"0-4";4;14
2020-04-02;"Feminino";"10-14";1;7
2020-04-02;"Feminino";"15-19";2;17
2020-04-02;"Feminino";"20-24";8;73
2020-04-02;"Feminino";"25-29";10;72
2020-04-02;"Feminino";"30-34";14;93
2020-04-02;"Feminino";"35-39";9;80
2020-04-02;"Feminino";"40-44";4;44
2020-04-02;"Feminino";"45-49";9;31
2020-04-02;"Feminino";"50-54";5;30
2020-04-02;"Feminino";"55-59";4;24
2020-04-02;"Feminino";"60-64";3;12
2020-04-02;"Feminino";"65-69";3;12
2020-04-02;"Feminino";"70-74";1;7
2020-04-02;"Feminino";"80-84";3;9
2020-04-02;"Feminino";"85-89";1;6
2020-04-02;"Feminino";"90-94";1;4
2020-04-02;"Feminino";"95-99";1;1
2020-04-02;"Masculino";"0-4";4;22
2020-04-02;"Masculino";"15-19";3;18
2020-04-02;"Masculino";"20-24";11;42
2020-04-02;"Masculino";"25-29";8;39
2020-04-02;"Masculino";"30-34";9;51
2020-04-02;"Masculino";"35-39";6;49
2020-04-02;"Masculino";"40-44";4;42
2020-04-02;"Masculino";"45-49";7;21
2020-04-02;"Masculino";"5-9";1;12
2020-04-02;"Masculino";"50-54";4;19
2020-04-02;"Masculino";"55-59";3;18
2020-04-02;"Masculino";"60-64";1;17
2020-04-02;"Masculino";"65-69";1;7
2020-04-02;"Masculino";"70-74";2;7
2020-04-02;"Masculino";"80-84";1;6
2020-04-02;"Masculino";"85-89";2;3
2020-04-03;"Feminino";"0-4";3;17
2020-04-03;"Feminino";"15-19";5;22
2020-04-03;"Feminino";"20-24";13;86
2020-04-03;"Feminino";"25-29";21;93
2020-04-03;"Feminino";"30-34";35;128
2020-04-03;"Feminino";"35-39";21;101
2020-04-03;"Feminino";"40-44";15;59
2020-04-03;"Feminino";"45-49";9;40
2020-04-03;"Feminino";"5-9";2;9
2020-04-03;"Feminino";"50-54";4;34
2020-04-03;"Feminino";"55-59";7;31
2020-04-03;"Feminino";"60-64";9;21
2020-04-03;"Feminino";"65-69";4;16
2020-04-03;"Feminino";"70-74";2;9
2020-04-03;"Feminino";"75-79";1;5
2020-04-03;"Feminino";"80-84";5;14
2020-04-03;"Feminino";"85-89";1;7
2020-04-03;"Feminino";"90-94";2;6
